Common,Species,Sex,Human,AdultSampleDefinition,RSDefinition,MatingSystem,Monogamous,NonHumanPrimate,N,K,Mean,B,SD,Var,CV,I,Source,Ref,File
elephant seal,Mirounga angustirostris,M,0,Males that reached age 5 (breeding age),weaned offspring,Polygynous,0,0,21,62.2804,2.95,NA,13.74008734,188.79,18.32011645,21.77,Claire,"Clutton-Brock, T., ed. 1988._Reproductive Success: Studies of Individual Variation in Contrasting Breeding Systems_. Chicago: University of Chicago Press.",NA
lar gibbon,Hylobates lar,M,0,Hypothetical cohort assuming zero pop. Growth,independence,Monogamous,1,1,19,38,2,NA,1.55597321,2.421052632,0.777986605,0.605263158,Lukas et al. 2014,Barelli et al. 2013,rspb20140418supp2
roe deer,Capreolus capreolus,M,0,Candidate fathers,genotyped offspring,Polygynous,0,0,24,108.96,4.54,NA,3.937003937,15.5,0.867181484,0.752003726,"Vanp_, C_cile. ""Mating systems and sexual selection in ungulates New insights from a territorial species with low sexual size dimorphism: the European roe deer (Capreolus capreolus)."" PhD diss., Universit_ Paul Sabatier-Toulouse III; Swedish University of Agricultural Sciences, Uppsala, 2007.","Vanp_, C_cile. ""Mating systems and sexual selection in ungulates New insights from a territorial species with low sexual size dimorphism: the European roe deer (Capreolus capreolus)."" PhD diss., Universit_ Paul Sabatier-Toulouse III; Swedish University of Agricultural Sciences, Uppsala, 2007.",NA
rhesus macaque,Macaca mulatta,M,0,Adult years,genotyped offspring,Polygynandrous,0,1,343,747,2.17784257,NA,3.86775227,14.95950762,1.775955858,3.15401921,"Sauermann, Ulrike, Peter N™rnberg, Fred Bercovitch, John Berard, Andrea Trefilov, Anja Widdig, Matt Kessler, J_rg Schmidtke, and Michael Krawczak. ""Increased reproductive success of MHC class II heterozygous males among free-ranging rhesus macaques.""_Human genetics_108, no. 3 (2001): 249-254.","Sauermann, Ulrike, Peter N™rnberg, Fred Bercovitch, John Berard, Andrea Trefilov, Anja Widdig, Matt Kessler, J_rg Schmidtke, and Michael Krawczak. ""Increased reproductive success of MHC class II heterozygous males among free-ranging rhesus macaques.""_Human genetics_108, no. 3 (2001): 249-254.",NA
snowshoe hare,Lepus americanus,M,0,reproductive-age adults,genotyped offspring at 50% confidence,Polygynous,0,0,20,41,2.05,NA,2.543619468,6.47,1.240789985,1.539559786,Burton 2002,Burton 2002,NA
soay sheep,Ovis aries,M,0,males born in cohort year surviving to rut at age 7,genotyped offspring (lifetime breeding success),Polygynous,0,0,130,484,3.723076923,NA,6.925323396,47.96010414,1.860107524,3.46,"Coltman, D. W., J. A. Smith, D. R. Bancroft, J. Pilkington, A. D. C. MacColl, T. H. Clutton_Brock, and J. M. Pemberton. ""Density_dependent variation in lifetime breeding success and natural and sexual selection in Soay rams.""The American Naturalist_154, no. 6 (1999): 730-746.","Coltman, D. W., J. A. Smith, D. R. Bancroft, J. Pilkington, A. D. C. MacColl, T. H. Clutton_Brock, and J. M. Pemberton. ""Density_dependent variation in lifetime breeding success and natural and sexual selection in Soay rams.""The American Naturalist_154, no. 6 (1999): 730-746.",NA
indian fruit bat,Cynopterus sphinx,M,0,Adult breeding years,genotyped offspring,Polygynous,0,0,242,185,0.764304896,NA,2.141418103,6.727089596,2.801785145,7.85,"Storz, Jay F., Hari R. Bhat, and Thomas H. Kunz. ""Genetic consequences of polygyny and social structure in an Indian fruit bat, Cynopterus sphinx. II. Variance in male mating success and effective population size.""_Evolution_55, no. 6 (2001): 1224-1232.","Storz, Jay F., Hari R. Bhat, and Thomas H. Kunz. ""Genetic consequences of polygyny and social structure in an Indian fruit bat, Cynopterus sphinx. II. Variance in male mating success and effective population size.""_Evolution_55, no. 6 (2001): 1224-1232.",NA
japanese macaque,Macaca fuscata,M,0,Hypothetical cohort assuming zero pop. Growth,independence,Polygynandrous,0,1,24,48,2,NA,3.413528074,11.65217391,1.706764037,2.913043478,Lukas et al. 2014,Inoue et al. 1990,rspb20140418supp2
meerkat,Suricata suricatta,M,0,Hypothetical cohort assuming zero pop. Growth,weaned,Monogamous,1,0,207,415,2.004830918,NA,6.796985043,46.19900568,3.390303383,11.49415703,Lukas et al. 2014,Spong et al. 2008,rspb20140418supp2
red deer,Cervus elaphus,M,0,Males that reached age 4 (breading age),Live births,Polygynous,0,0,33,178.53,5.41,NA,6.473020933,41.9,1.196491855,1.43,Claire,"Clutton-Brock, T., ed. 1988._Reproductive Success: Studies of Individual Variation in Contrasting Breeding Systems_. Chicago: University of Chicago Press.",NA
agile antechinus,Antechinus agilis,M,0,NA,NA,NA,0,0,27,77,2.9,NA,3.35,11.21,NA,NA,"Paternity success and the direction of sexual selection in a field population of a semelparous marsupial, Antechinus agilis.",https://doi.org/10.1046/j.1365-294X.2003.01745.x,NA
agile antechinus,Antechinus agilis,M,0,NA,NA,NA,0,0,33,92,2.8,NA,4.18,17.48,NA,NA,"Paternity success and the direction of sexual selection in a field population of a semelparous marsupial, Antechinus agilis.",https://doi.org/10.1046/j.1365-294X.2003.01745.x,NA
brown antechinus,Antechinus stuartii,M,0,NA,NA,NA,0,0,119,165,1.4,NA,1.98,3.94,NA,NA,"Size breeds success: multiple paternity, multivariate selection and male semelparity in a small marsupial, Antechinus stuartii",https://doi.org/10.1111/j.1365-294x.2006.03001.x,NA
