age,rs_surviving
25,0
35,3
65,3
21,0
27,1
18,0
58,6
40,6
32,2
20,0
36,5
52,4
18,0
25,1
46,5
37,7
65,8
18,0
68,7
25,3
53,8
38,4
68,2
27,2
42,0
20,0
75,3
80,4
22,2
30,3
46,7
24,1
24,1
28,4
33,2
18,0
22,0
18,0
22,0
28,4
52,0
25,1
33,4
28,1
39,4
47,7
78,3
25,1
40,5
26,0
31,2
36,5
29,2
28,0
32,5
35,4
66,5
24,0
50,3
18,0
21,2
18,0
35,4
60,3
30,4
32,2
23,0
35,1
32,2
55,2
36,5
67,10
39,6
30,2
30,4
33,0
28,0
25,1
40,10
25,2
20,0
70,6
19,0
35,5
37,6
28,2
25,0
44,7
22,0
58,11
28,1
44,7
30,2
23,0
30,0
45,3
30,1
66,4
40,4
55,8
55,4
55,7
43,7
50,5
28,2
30,3
32,4
65,2
61,10
43,6
40,7
60,9
21,0
38,6
30,1
42,5
30,2
25,1
35,2
32,3
30,1
35,3
18,0
53,0
47,11
42,10
20,0
35,6
57,12
34,5
19,0
24,0
26,1
19,0
40,5
20,0
45,7
50,8
28,1
23,0
27,2
52,7
40,4
18,0
40,13
42,3
33,3
65,2
30,0
24,0
38,5
50,5
57,7
25,1
18,1
22,0
57,4
38,3
35,6
32,7
18,0
25,3
25,2
42,3
18,0
25,1
65,5
65,1
18,1
18,0
20,3
55,6
22,1
26,6
37,6
52,6
44,3
50,8
37,4
28,0
40,2
54,7
20,0
57,7
27,0
37,6
35,6
20,0
33,1
45,8
27,1
20,0
40,8
18,0
20,0
30,4
20,0
22,0
22,0
24,1
57,10
32,6
24,0
20,1
45,6
18,0
35,6
55,6
32,5
30,3
35,3
22,1
38,4
19,0
25,0
68,5
25,0
30,2
30,3
60,6
55,10
24,0
35,4
30,2
70,5
28,1
32,3
40,1
24,0
35,4
37,5
47,5
40,7
18,0
47,4
40,5
45,7
35,5
35,8
22,0
38,6
22,3
60,4
35,6
30,4
34,6
33,4
19,0
20,1
23,2
20,0
24,1
20,0
42,3
22,0
28,5
47,7
40,12
20,0
35,1
38,1
31,1
52,0
30,1
20,0
20,0
67,4
30,1
27,0
34,4
25,0
39,6
20,0
23,0
54,6
60,7
23,1
22,0
54,3
27,0
46,7
30,4
19,0
20,0
25,1
20,0
36,3
70,6
38,0
20,0
21,0
35,4
40,1
40,4
20,0
33,3
20,0
21,0
19,0
36,5
22,0
89,7
30,4
30,3
35,3
40,6
45,3
30,3
37,5
22,0
50,0
60,7
34,4
23,0
34,5
35,2
25,1
37,0
36,7
29,2
25,3
23,1
21,0
35,2
57,5
