rs,age
5,41
3,33
2,23
4,53
3,48
5,49
2,32
3,31
6,57
4,35
8,50
3,45
1,27
8,80
6,46
5,37
5,61
2,29
5,36
2,28
3,45
2,36
9,75
5,45
0,27
6,53
