ageraw,rs,age
21,0,21
20.91939767,1,21
21,1,21
22,0,22
22,0,22
21.94130048,0,22
22.11739904,0,22
22,0,22
21.81749487,0,22
22.45341547,0,22
22,0,22
22,0,22
22,0,22
22,0,22
22,0,22
22,0,22
21.93582478,0,22
21.57782341,0,22
22,0,22
21.761013,0,22
22,0,22
21.50004107,0,22
22.20073922,0,22
22.33336071,0,22
21.94798084,0,22
21.60922656,0,22
22,0,22
22,0,22
22,0,22
22,0,22
22,0,22
22,0,22
21.58885695,0,22
22,0,22
22,0,22
21.77735797,0,22
22.33883641,0,22
22,0,22
22,0,22
22,0,22
21.92487337,0,22
22.02190281,0,22
22,0,22
22,0,22
22,0,22
22,0,22
22.36347707,0,22
22,0,22
22,0,22
21.75545517,0,22
21.80199863,0,22
22.19679671,0,22
21.90844627,0,22
21.93976728,0,22
22.01916496,0,22
22,0,22
21.51638604,0,22
22,0,22
21.68032854,0,22
22.10362765,0,22
21.97809719,0,22
22,0,22
22,0,22
22,0,22
22,0,22
22,0,22
22,0,22
22.48079398,0,22
22,0,22
21.87011636,0,22
22,0,22
22,0,22
21.81141684,0,22
22.03405886,0,22
21.56301164,0,22
21.7159206,0,22
22.18157426,0,22
22.03675565,0,22
22,0,22
22,0,22
22,0,22
22,0,22
22,0,22
22,0,22
22,0,22
22,0,22
22,0,22
22,0,22
22,0,22
21.6994935,0,22
22,0,22
22,0,22
22,0,22
22,0,22
21.90176591,0,22
22,1,22
22,1,22
22.25275838,1,22
22.06848734,1,22
22.12561259,1,22
21.88533881,1,22
22.4084052,1,22
23.21438741,0,23
22.96714579,0,23
23,0,23
23,0,23
22.87285421,0,23
23,0,23
22.66386037,0,23
23.42217659,0,23
23,0,23
23,0,23
22.73697467,0,23
23,0,23
23,0,23
22.59425051,0,23
23,0,23
23,0,23
23,0,23
23.01215606,0,23
23.39206023,0,23
23,0,23
23,0,23
23.04227242,0,23
23,0,23
23,0,23
22.5449692,0,23
23,0,23
22.96440794,0,23
23.00821355,0,23
23,0,23
23,0,23
23.09420945,0,23
23,0,23
23,0,23
23,0,23
22.50551677,0,23
23.33336071,0,23
22.53837098,0,23
22.71164956,0,23
23.42495551,0,23
22.51099247,0,23
23.42217659,0,23
23,0,23
23.16394251,0,23
23.47531828,0,23
23.15572895,0,23
23,0,23
22.89355236,0,23
23.47531828,0,23
23,0,23
23,0,23
22.5449692,0,23
22.83879535,0,23
23.13930185,0,23
23,0,23
23,0,23
23,0,23
23,0,23
23.16394251,0,23
23.35244353,0,23
23.11893224,0,23
23,0,23
23,0,23
23,0,23
23,0,23
22.5449692,0,23
22.5519781,0,23
23.41122519,0,23
23.45768652,0,23
23,0,23
23,0,23
23,0,23
23,0,23
22.99178645,0,23
23.18431211,0,23
23,0,23
22.74784394,0,23
22.87285421,0,23
23.20073922,0,23
23.43586585,0,23
23,0,23
23,0,23
23,0,23
23,0,23
23,0,23
23,0,23
23,0,23
22.9945243,0,23
23,0,23
23.4138809,0,23
23,0,23
23,0,23
23,0,23
23,0,23
23,0,23
23,0,23
23,0,23
23,0,23
23,0,23
23,0,23
23,0,23
23,0,23
23.14083504,0,23
22.89359343,1,23
23,1,23
22.75939767,1,23
23.33054073,1,23
23.09702943,1,23
23.21326489,2,23
22.53671458,2,23
23.69522245,0,24
24,0,24
24.28287474,0,24
24,0,24
23.71712526,0,24
24.34431211,0,24
24,0,24
24.37281314,0,24
24,0,24
24,0,24
24.06023272,0,24
23.70778919,0,24
23.59433265,0,24
23.55600274,0,24
24.46440794,0,24
24,0,24
24,0,24
24.27739904,0,24
24.45897331,0,24
23.89081451,0,24
24.09155373,0,24
24,0,24
24,0,24
24,0,24
24,0,24
24.06417522,0,24
23.51219713,0,24
23.54110883,0,24
24,0,24
23.50551677,0,24
24.38811773,0,24
24,0,24
24,0,24
24.22691307,0,24
23.9030527,0,24
24,0,24
24,0,24
24.33062286,0,24
24,0,24
24,0,24
24,0,24
23.53015743,0,24
23.80046543,0,24
23.6063655,0,24
24,0,24
23.7089117,0,24
23.7159206,0,24
23.76093087,0,24
23.78951403,0,24
24,0,24
24,0,24
23.7104449,0,24
24.20501027,0,24
24,0,24
23.64908966,0,24
23.72533881,0,24
24,0,24
24,0,24
24,0,24
24,0,24
24,0,24
24,0,24
24,0,24
24,0,24
23.852778,0,24
24,0,24
24,0,24
23.68036961,0,24
24,0,24
24,0,24
24,0,24
24,0,24
24,0,24
24,0,24
24,0,24
24,0,24
24,0,24
24,0,24
24,0,24
24,0,24
24,0,24
24,0,24
24.43852156,0,24
24,0,24
24.22537988,1,24
23.98631075,1,24
24.18310746,1,24
24.34704997,1,24
24,1,24
24,1,24
24.39471595,1,24
23.86472279,1,24
23.8881588,1,24
24,2,24
24.49730322,2,24
24.13930185,2,24
24.1188501,2,24
25,0,25
25,0,25
25,0,25
25,0,25
24.78283368,0,25
25,0,25
25.17062286,0,25
25.29382615,0,25
25,0,25
25,0,25
24.52733744,0,25
25.21716632,0,25
25,0,25
25.10093087,0,25
24.92607803,0,25
25,0,25
25,0,25
25.31411362,0,25
24.96988364,0,25
25.03559206,0,25
25,0,25
25,0,25
24.75271732,0,25
25.27192334,0,25
25.40027379,0,25
24.78959617,0,25
25.12287474,0,25
25.33327858,0,25
25,0,25
25,0,25
25.34422998,0,25
24.7049692,0,25
25.33875428,0,25
25,0,25
25.2950308,0,25
25.42491444,0,25
25,0,25
24.7555373,0,25
24.96594114,0,25
25.25002053,0,25
25.33883641,0,25
25,0,25
25.41396304,0,25
25,0,25
24.79772758,0,25
25.10798084,0,25
24.60246407,0,25
24.62283368,0,25
24.66390144,0,25
24.76914442,0,25
25.34978782,0,25
