age,rs
47,4
65,0
61,1
67,2
64,4
46,1
51,2
63,5
52,6
53,1
66,4
47,2
60,3
35,0
72,4
43,1
44,3
69,9
47,0
50,0
47,1
47,0
64,2
62,4
66,0
66,1
62,0
59,3
72,2
44,2
47,0
46,3
58,1
57,9
46,0
35,0
50,1
40,0
16,0
20,0
42,4
73,7
44,4
35,6
40,8
38,5
48,9
21,2
61,10
46,4
49,6
37,9
56,5
37,5
36,5
19,1
58,9
50,7
42,5
53,6
50,3
37,5
61,5
53,8
47,4
43,9
49,10
62,0
43,0
48,4
41,5
49,4
46,3
43,7
46,8
52,6
42,5
26,3
46,5
42,10
49,4
82,4
39,0
20,0
43,8
26,3
62,1
40,4
56,17
53,8
35,2
55,3
47,1
42,4
35,10
52,9
51,8
43,6
44,8
41,4
39,0
58,1
56,4
54,11
42,8
45,9
41,7
39,7
33,2
44,8
58,9
45,9
62,0
48,14
48,0
