rs,age
1,34
3,49
0,19
2,41
3,42
7,82
11,66
0,19
0,30
2,33
0,21
1,76
0,18
2,43
0,18
8,80
0,57
2,42
0,82
0,19
0,27
0,17
0,22
2,55
2,45
3,53
2,40
2,54
1,26
0,26
0,64
2,26
0,33
5,52
1,25
2,32
2,46
0,19
1,51
3,37
3,48
6,83
3,44
0,24
6,46
0,29
2,69
1,25
4,47
1,41
1,25
3,56
0,20
3,60
0,21
3,49
1,45
2,26
3,53
