rs,age
7,58
1,61
3,28
3,29
5,86
1,28
6,30
4,53
1,23
4,74
4,49
11,57
1,31
7,26
3,35
1,39
5,47
5,41
2,32
9,67
1,35
3,55
3,56
6,66
3,57
3,52
3,52
3,54
5,61
3,38
1,57
6,49
1,67
0,48
2,23
1,62
3,28
2,45
5,68
4,59
3,51
0,28
6,42
2,48
