age,rs
40,4
24,2
45,7
42,8
40,1
25,1
38,8
53,2
47,5
35,5
60,8
23,0
45,6
30,0
35,4
64,5
26,2
33,5
55,4
28,0
54,6
42,4
40,7
29,3
54,5
63,10
31,3
45,4
47,5
35,2
58,9
40,7
43,4
37,2
45,9
21,0
34,1
