age,rs
78,4
78,5
78,11
79,2
79,2
79,4
79,4
79,4
79,2
79,3
79,3
80,2
80,2
80,2
80,2
80,2
80,2
80,3
80,4
80,3
80,3
80,3
80,4
80,4
80,4
80,4
80,4
80,4
80,4
80,6
80,7
80,10
80,3
80,4
80,3
80,5
80,2
80,4
80,4
80,4
80,4
80,4
80,4
80,2
80,4
80,3
80,3
80,5
80,4
80,2
80,2
80,10
