rs,age
1,19
0,22
0,23
0,24
0,25
1,26
0,27
1,30
0,31
1,31
2,31
4,31
2,32
4,32
3,33
0,34
1,34
2,34
3,34
4,34
0,36
1,36
3,36
3,36
4,36
7,38
0,39
0,39
4,40
5,40
5,40
15,40
2,41
2,41
2,42
4,42
7,42
9,42
10,42
9,43
5,44
7,44
2,46
5,46
0,47
2,48
7,48
4,49
8,50
12,51
3,55
17,56
1,57
4,59
5,59
1,60
2,60
14,61
