age,rs
64,7
68,11
65,8
50,9
45,6
42,6
25,0
40,5
38,4
33,3
69,5
45,5
27,1
19,0
19,0
60,5
58,5
25,0
55,0
20,0
26,0
33,0
21,1
28,4
19,0
52,4
47,8
30,0
38,5
27,0
30,3
36,5
60,10
41,8
35,4
71,10
20,0
33,1
