time,rs
0.88,0
3.03,0
3.06,1
3.06,1
3.06,1
3.06,1
3.06,0
1.3,0
3.06,2
3.06,1
0.5,0
3.06,1
3.06,1
3.06,1
3.06,1
3.06,1
3.06,0
3.06,1
3.06,1
3.06,1
3.06,1
3.06,2
3.06,1
3.06,1
3.06,2
3.06,1
3.06,1
3.06,1
3.06,1
3.06,1
3.06,2
