rs,time
0,93.73
0,93.57
0,59.27
0,44.23
0,50.9
0,110.03
0,36.77
0,96.73
0,143.17
0,44.47
0,127
0,64.4
0,36.77
1,82.97
1,54.8
1,52.87
1,56.2
1,65.8
2,65.37
2,102.6
2,99.13
2,75.93
2,93.7
2,94.1
2,71.57
2,84
2,63.5
2,157.1
2,108.63
2,72.6
3,115.23
3,92.33
3,108.2
3,94.1
3,94.93
3,79.07
3,48.13
3,92.33
3,129.67
4,75.87
6,113.13
7,144.6
