time,rs
2.47,0
2.47,1
2.47,4
2.47,0
2.47,2
2.47,3
2.47,1
2.47,0
2.47,1
1.35,0
0.05,0
2.47,0
0.97,1
2.47,0
2.47,1
2.47,0
2.47,1
2.47,2
1.39,0
2.47,1
2.47,0
2.47,3
2.47,1
1.57,0
