rs,time
0,1
0,2
1,2
0,3
0,4
0,4
1,4
0,7
1,7
1,8
2,9
0,10
0,10
0,14
1,14
2,14
1,15
3,15
0,16
2,16
5,17
1,18
0,19
0,19
2,21
5,21
5,25
