NAME,AtlasName,AtlasNum,LOCATION,PercentPolygyny
Caribou Inuit,WISHRAM .,560,Northwest Territories,22
Yaruro-pume,,,Venezuela,23
Shuswap,TEHUELCHE,349,Alberta,23
Beaver,TUBATULAB,173,Alberta,24
Guato,BATAK . .,153,Brazil,25
Pitjandjara,HAISLA. .,470,Australia Northern Territory,25
Comanche,,,Texas,25
Assiniboine,PARAUJANO,289,Saskatchewan,25
Thompson,SQUAMISH.,475,British Columbia,25
Great Whale Inuit,WINTU . .,529,Quebec,25
Arenda (northern),,,Australia—Northern Territory,26
Cheyenne,OJIBWA. .,77,Colorado,26
Jankundjara,,,Australia—South Australia,27
Siriono,,,Bolivia,28
Tasmanians (eastern),,,Tasmania,29
Mardudjara,,,Australia Western Australia,30
Alyawara,,,Australia—Northern Territory,30
Pintubi,,,Australia—Northern Territory,31
Aweikomo,BLOOD . .,620,Brazil,32
Lardil,,,Australia—Queensland,33
Worora,,,Australia—Western Australia,35
Efe,,,Zaire,36
Kariera,,,Australia—Western Australia,36
Labrador Inuit,WINDRIVER,606,Newfoundland,36
Gidjingali,COWICHAN.,509,Australia—Northern Territory,38
Walbiri,,,Australia Northern Territory,38
Kakadu,,,Australia—Northern Territory,40
Mulluk,EYAK. . .,270,Australia—Northern Territory,40
Nez-perce,SPRINGVAL,581,Idaho,40
Ildawongga,GUAHIBO .,290,Australia—Western Australia,41
Anbara,,,Australia—Northern Territory,42
Murngin (Yolngu),CROW. . .,178,Australia Northern Territory,43
Yir-yoront,,,Australia—Queensland,43
Gunwinggu,COMOX . .,476,Australia Northern Territory,45
Mirrngadja,COOS. . .,483,Australia Northern Territory,45
Warunggu,GOSIUTE .,590,Australia—Queensland,45
Groote-eylandt,EASTER. .,1126,Australia—Northern Territory,48
Crow,,,Wyoming,48
Kaiadilt,GABRIELIN,544,Australia—Queensland,52
Tiwi,DOGRIB. .,464,Australia—Northern Territory,53.8
Kiowa,,,Kansas,57
