rs,AgePaper,age
0,40+,55
1,40+,55
1,40+,55
1,40+,55
1,40+,55
1,40+,55
1,40+,55
1,40+,55
2,40+,55
2,40+,55
2,40+,55
2,40+,55
2,40+,55
2,40+,55
2,40+,55
3,40+,55
3,40+,55
3,40+,55
3,40+,55
3,40+,55
3,40+,55
3,40+,55
4,40+,55
4,40+,55
4,40+,55
4,40+,55
4,40+,55
4,40+,55
4,40+,55
5,40+,55
5,40+,55
5,40+,55
5,40+,55
5,40+,55
5,40+,55
5,40+,55
6,40+,55
6,40+,55
6,40+,55
6,40+,55
7,40+,55
7,40+,55
7,40+,55
8,40+,55
