rs_surviving,age
5,73
4,66
7,53
3,52
10,52
6,51
7,50
6,50
7,49
8,48
7,46
7,44
4,44
7,43
7,40
9,37
6,35
6,29
4,27
2,25
2,24
1,24
3,24
2,24
3,23
1,23
1,23
2,23
3,22
1,22
2,22
1,22
0,21
2,21
0,20
0,20
1,19
0,19
0,18
0,17
0,17
0,17
0,16
0,15
